name,time,external,internal
temperature,1657990255550485562,110,30.8
temperature,1657990264802507034,110,30.3
temperature,1657990274071133736,110,30.6
temperature,1657990283349500331,110,29.8
temperature,1657990292623513235,110,30.3
temperature,1657990301883055099,110,31.2
temperature,1657990311152197383,110,30.4
temperature,1657990320411658385,110,30.3
temperature,1657990329674305044,110,30.2
temperature,1657990338936464166,110,31.3
temperature,1657990348196492318,110,30.6
temperature,1657990357470824292,110,30.6
temperature,1657990366728033717,110,30.5
temperature,1657990375993782173,110,29.9
temperature,1657990385250492882,110,30.5
temperature,1657990394507844775,110,30.6
temperature,1657990403768846358,110,30.6
temperature,1657990413023016969,110,30.3
temperature,1657990422279163726,110,30.6
temperature,1657990431540967918,110,30.6
temperature,1657990440809427559,110,30.8
temperature,1657990450068092513,110,30.1
temperature,1657990459344045095,110,30.6
temperature,1657990468619532255,110,30.9
temperature,1657990477881363875,110,30.2
temperature,1657990487148073751,110,29.8
temperature,1657990496436368387,110,30.8
temperature,1657990505693248686,110,30.1
temperature,1657990514958245336,110,31.1
temperature,1657990524238888784,110,30.6
temperature,1657990533501929490,110,30.1
temperature,1657990542754239701,110,29.8
temperature,1657990552025265875,110,30
temperature,1657990561297297443,110,30.6
temperature,1657990570550199753,110,30.1
temperature,1657990579818451063,110,30.3
temperature,1657990589088622377,110,30.6
temperature,1657990598356055968,110,30.7
temperature,1657990607612687320,110,30.2
temperature,1657990616870589956,110,30.1
temperature,1657990626126328751,110,30.1
temperature,1657990635367743985,110,29.7
temperature,1657990644628566936,110,29.6
temperature,1657990653884438602,110,30.1
temperature,1657990663149208144,110,30.6
temperature,1657990672412953538,110,30.1
temperature,1657990681679945910,110,30.3
temperature,1657990690953723287,110,30.3
temperature,1657990700209907729,110,30.8
temperature,1657990709456572685,110,30.1
temperature,1657990718715585391,110,30.7
temperature,1657990727975298860,110,30.3
temperature,1657990737223214586,110,29.7
temperature,1657990746470098400,110,29.8
temperature,1657990755725770302,110,30.4
temperature,1657990765013152974,110,30.6
temperature,1657990774278933528,110,30.8
temperature,1657990783540666436,110,30.3
temperature,1657990792800470430,110,30.6
temperature,1657990802053332040,110,30.3
temperature,1657990811319694516,110,30.2
temperature,1657990820575235253,110,30.8
temperature,1657990829839310165,110,30.3
temperature,1657990839100367043,110,30.5
temperature,1657990848365054079,110,29.8
temperature,1657990857638592292,110,30.8
temperature,1657990866888641167,110,30.8
temperature,1657990876143203336,110,31.1
temperature,1657990885390689878,110,30
temperature,1657990894663059843,110,30.6
temperature,1657990903943822174,110,30.6
temperature,1657990913204688604,110,30.1
temperature,1657990922472572946,110,30.4
temperature,1657990931723653550,110,30.5
temperature,1657990940992305761,110,31.1
temperature,1657990950250802077,110,30
temperature,1657990959540279431,110,30.3
temperature,1657990968803327866,110,29.8
temperature,1657990978057064582,110,31
temperature,1657990987332532387,110,30.6
temperature,1657990996620025100,110,30.3
temperature,1657991005885067524,110,30.3
temperature,1657991015151107197,110,30.9
temperature,1657991024402848429,110,30.3
temperature,1657991033657071476,110,29.8
temperature,1657991042915235157,110,30
temperature,1657991052176537200,110,30.1
temperature,1657991061440560996,110,30.7
temperature,1657991070718260507,110,30.6
temperature,1657991079993275047,110,30.6
temperature,1657991089238950516,110,30.8
temperature,1657991098496369863,110,30.2
temperature,1657991107754452372,110,30.8
temperature,1657991117005340370,110,30.6
temperature,1657991126267199308,110,30
temperature,1657991135534495104,110,30.8
temperature,1657991144789538047,110,29.1
temperature,1657991154058617993,110,30.4
temperature,1657991163328546980,110,30.2
temperature,1657991172595501646,110,30.3
temperature,1657991181863363802,110,30.5
temperature,1657991191124698513,110,30.5
temperature,1657991200400483208,110,30.6
temperature,1657991209671710508,110,30.1
temperature,1657991218943682420,110,30.8
temperature,1657991228203049568,110,30.4
temperature,1657991237469817088,110,29.9
temperature,1657991246759587073,110,30.6
temperature,1657991256002518798,110,30.4
temperature,1657991265264127270,110,30.2
temperature,1657991274530026499,110,30.9
temperature,1657991283789883659,110,30.4
temperature,1657991293064045445,110,31.3
temperature,1657991302331107920,110,30.8
temperature,1657991311593544400,110,30.1
temperature,1657991320862231172,110,29.6
temperature,1657991330146167413,110,30.6
temperature,1657991339413156350,110,30.7
temperature,1657991348689753435,110,30.6
temperature,1657991357955389671,110,30.1
temperature,1657991367234025096,110,31.1
temperature,1657991376499542571,110,30.8
temperature,1657991385749579714,110,30.7
temperature,1657991395005803560,110,30.5
temperature,1657991404258190301,110,30.6
temperature,1657991413533817387,110,30.2
temperature,1657991422781578770,110,30.8
temperature,1657991432061309604,110,30.2
temperature,1657991441319680094,110,31.6
temperature,1657991450564028484,110,30.1
temperature,1657991459825431511,110,30.6
temperature,1657991469086439472,110,29.9
temperature,1657991478353975191,110,30.6
temperature,1657991487616047343,110,30.6
temperature,1657991496891113797,110,30.8
temperature,1657991506148848917,110,29.6
temperature,1657991515440344932,110,29.8
temperature,1657991524712362173,110,30.4
temperature,1657991533968001565,110,30.8
temperature,1657991543231630886,110,30.3
temperature,1657991552496490238,110,30.5
temperature,1657991561762754861,110,30.8
temperature,1657991571038173991,110,30.6
temperature,1657991580297744881,110,30.9
temperature,1657991589550175520,110,30.2
temperature,1657991598815295320,110,30.9
temperature,1657991608086919313,110,29.6
temperature,1657991617339703302,110,30.6
temperature,1657991626592027342,110,30.5
temperature,1657991635852860273,110,31.2
temperature,1657991645141563766,110,30.3
temperature,1657991654413913325,110,30.6
temperature,1657991663678777695,110,30.1
temperature,1657991672943225913,110,29.9
temperature,1657991682222247796,110,30.5
temperature,1657991691470065664,110,29.6
temperature,1657991700740284391,110,31
temperature,1657991709994446822,110,30.3
temperature,1657991719236096724,110,31.2
temperature,1657991728546937058,110,30.5
temperature,1657991737767212438,110,30.2
temperature,1657991747031639373,110,30.8
temperature,1657991756297453267,110,30.8
temperature,1657991765560982139,110,30.6
temperature,1657991774846201287,110,30.9
temperature,1657991784111770928,110,30.5
temperature,1657991793365873958,110,30.8
temperature,1657991802607972680,110,30.3
temperature,1657991811859789018,110,30.6
temperature,1657991821128004582,110,30.7
temperature,1657991830396621853,110,31
temperature,1657991839675158917,110,30.1
temperature,1657991848950687341,110,30.1
temperature,1657991858231371549,110,29.6
temperature,1657991867473581596,110,30.1
temperature,1657991876748200156,110,29.8
temperature,1657991886024171579,110,30.3
temperature,1657991895295261114,110,30.7
temperature,1657991904543306856,110,30
temperature,1657991913819359084,110,30.8
temperature,1657991923081892934,110,30.9
temperature,1657991932322296568,110,30.3
temperature,1657991941576508339,110,30.3
temperature,1657991950844590178,110,30.4
temperature,1657991960112570517,110,30.7
temperature,1657991969368448212,110,31.1
temperature,1657991978644858338,110,30.8
temperature,1657991987904603329,110,30.2
temperature,1657991997171170171,110,30
temperature,1657992006439786444,110,30.7
temperature,1657992015719932538,110,29.8
temperature,1657992024985837194,110,30.9
temperature,1657992034251600261,110,30.5
temperature,1657992043513248504,110,30.8
temperature,1657992052775672629,110,30.6
temperature,1657992062050034673,110,30.1
temperature,1657992071308097961,110,30.5
temperature,1657992080561713136,110,30.8
temperature,1657992089812363475,110,30.6
temperature,1657992099067869637,110,30.8
temperature,1657992108328390513,110,30.3
temperature,1657992117596300640,110,30.4
temperature,1657992126861274539,110,30
temperature,1657992136115382058,110,30.6
temperature,1657992145392550891,110,30.8
temperature,1657992154659853551,110,30.8
temperature,1657992163930430344,110,30.6
temperature,1657992173192754925,110,30.3
temperature,1657992182470687796,110,30.5
temperature,1657992191725750515,110,30.1
temperature,1657992200997863664,110,30.3
temperature,1657992210263687390,110,30.7
temperature,1657992219524140500,110,30.8
temperature,1657992228789353721,110,29.6
temperature,1657992238057404506,110,31.2
temperature,1657992247338395648,110,30.6
temperature,1657992256598183002,110,30.1
temperature,1657992265860024119,110,30.7
temperature,1657992275115127015,110,30.6
temperature,1657992284398463553,110,30.1
temperature,1657992293656148562,110,30.5
temperature,1657992302927679592,110,30.3
temperature,1657992312181376471,110,30.8
temperature,1657992321435722368,110,30.3
temperature,1657992330708255157,110,29.8
temperature,1657992339971278904,110,30.8
temperature,1657992349235474193,110,30.8
temperature,1657992358526279773,110,30.2
temperature,1657992367763858733,110,30.6
temperature,1657992377026568517,110,30.6
temperature,1657992386295686207,110,30.6
temperature,1657992395554540574,110,29.3
temperature,1657992404795607423,110,30.3
temperature,1657992414065725603,110,30.2
temperature,1657992423330953429,110,30.8
temperature,1657992432603708100,110,30.8
temperature,1657992441863792983,110,30.9
temperature,1657992451130855927,110,30.7
temperature,1657992460404865888,110,30.6
temperature,1657992469665911592,110,29.9
temperature,1657992478928477106,110,30.6
temperature,1657992488185468025,110,29.8
temperature,1657992497454095061,110,30.6
temperature,1657992506700002008,110,30.6
temperature,1657992515960883518,110,30.5
temperature,1657992525221520146,110,30.8
temperature,1657992534493211761,110,30.2
temperature,1657992543740156021,110,30.4
temperature,1657992553000309851,110,30.3
temperature,1657992562264229337,110,29.5
temperature,1657992571529564833,110,30.6
temperature,1657992580788390047,110,30.3
temperature,1657992590046657283,110,30.6
temperature,1657992599310324436,110,30.5
temperature,1657992608569512456,110,30.6
temperature,1657992617839052721,110,30.1
temperature,1657992627089561849,110,30.8
temperature,1657992636347595195,110,30.6
temperature,1657992645609287991,110,29.8
temperature,1657992654866666610,110,29.5
temperature,1657992664124722566,110,30.6
temperature,1657992673379796090,110,30.5
temperature,1657992682658717562,110,29.6
temperature,1657992691917799766,110,30.3
temperature,1657992701169874911,110,29.7
temperature,1657992710435006213,110,30.5
temperature,1657992719710976511,110,30.3
temperature,1657992728976907633,110,29.7
temperature,1657992738240879473,110,30.2
temperature,1657992747535115422,110,30.3
temperature,1657992756795092798,110,30.1
temperature,1657992766056100570,110,30.6
temperature,1657992775326416002,110,31
temperature,1657992784583588880,110,29.8
temperature,1657992793838128560,110,30.4
temperature,1657992803104177747,110,30.7
temperature,1657992812371666285,110,30.5
temperature,1657992821630280391,110,30.6
temperature,1657992830896462598,110,30.8
temperature,1657992840168367772,110,29.8
temperature,1657992849451420270,110,30.4
temperature,1657992858714563711,110,31.1
temperature,1657992867994606158,110,30.4
temperature,1657992877260709299,110,30.7
temperature,1657992886521732065,110,30.6
temperature,1657992895785577315,110,30.6
temperature,1657992905042707764,110,30.8
temperature,1657992914305190339,110,30.1
temperature,1657992923559685272,110,29.8
temperature,1657992932832064379,110,30.6
temperature,1657992942105997385,110,29.9
temperature,1657992951361698169,110,30.3
temperature,1657992960617827992,110,30.5
temperature,1657992969883487585,110,30.8
temperature,1657992979156998362,110,30.5
temperature,1657992988414194081,110,30.4
temperature,1657992997662628293,110,30.5
temperature,1657993006925863203,110,30.3
temperature,1657993016187283549,110,30.4
temperature,1657993025459287775,110,30.6
temperature,1657993034721295534,110,30.6
temperature,1657993043979361785,110,30.6
temperature,1657993053249922730,110,31.1
temperature,1657993062520442569,110,30.4
temperature,1657993071777493495,110,30.7
temperature,1657993081051554507,110,30.7
temperature,1657993090305985163,110,30.1
temperature,1657993099571574626,110,30.7
temperature,1657993108839604274,110,30.8
temperature,1657993118114130922,110,30.1
temperature,1657993127382726843,110,30.5
temperature,1657993136643883032,110,30.4
temperature,1657993145905377698,110,30.6
temperature,1657993155171754000,110,30.6
temperature,1657993164438785939,110,30.7
temperature,1657993173725051711,110,30.5
temperature,1657993182984996522,110,30.1
temperature,1657993192264517834,110,30.6
temperature,1657993201534438226,110,30.1
temperature,1657993210796019459,110,30.1
temperature,1657993220062864786,110,30
temperature,1657993229312413489,110,30.6
temperature,1657993238570619482,110,30.6
temperature,1657993247853083823,110,30.6
temperature,1657993257130140626,110,30
temperature,1657993266385149291,110,30.2
temperature,1657993275644214240,110,29.6
temperature,1657993284918216579,110,30.4
temperature,1657993294183363192,110,30.2
temperature,1657993303444441118,110,30.8
temperature,1657993312715520124,110,30.2
temperature,1657993321973385754,110,29.9
temperature,1657993331244215427,110,31
temperature,1657993340511666430,110,30.1
temperature,1657993349778161359,110,30.2
temperature,1657993359039508605,110,30.1
temperature,1657993368301738878,110,30.8
temperature,1657993377568097079,110,30.6
temperature,1657993386835818692,110,30.6
temperature,1657993396088818325,110,30.9
temperature,1657993405376149156,110,30.3
temperature,1657993414636293526,110,31
temperature,1657993423898925823,110,30.1
temperature,1657993433191161295,110,30.3
temperature,1657993442459781174,110,30.1
temperature,1657993451690068941,110,31.1
temperature,1657993460961255680,110,29.8
temperature,1657993470229054432,110,30
temperature,1657993479492650074,110,31
temperature,1657993488758079043,110,30.6
temperature,1657993498023724403,110,29.9
temperature,1657993507290686121,110,30.9
temperature,1657993516553455226,110,30.1
temperature,1657993525824455273,110,30.3
temperature,1657993535083422110,110,30.5
temperature,1657993544337457774,110,30
temperature,1657993553595267559,110,30.4
temperature,1657993562864798302,110,30.4
temperature,1657993572130878097,110,30.5
temperature,1657993581369095642,110,29.8
temperature,1657993590635616663,110,30.3
temperature,1657993599908741884,110,30.3
temperature,1657993609168865524,110,30.9
temperature,1657993618424723709,110,30.5
temperature,1657993627690472701,110,30.6
temperature,1657993636954073902,110,30.3
temperature,1657993646214924567,110,31.3
temperature,1657993655479033098,110,30.3
temperature,1657993664752037218,110,30.5
temperature,1657993674026238988,110,30.3
temperature,1657993683296955513,110,29.3
temperature,1657993692559735964,110,30.1
temperature,1657993701830232059,110,30.6
temperature,1657993711089297651,110,30
temperature,1657993720354218665,110,30.8
temperature,1657993729631472393,110,30.6
temperature,1657993738907594943,110,31.3
temperature,1657993748187935059,110,30.1
temperature,1657993757455545505,110,31.3
temperature,1657993766714495823,110,30.4
temperature,1657993775996472285,110,30.6
temperature,1657993785268091540,110,29.8
temperature,1657993794549583759,110,30.9
temperature,1657993803805573677,110,30.8
temperature,1657993813081178019,110,30
temperature,1657993822359763887,110,30.1
temperature,1657993831614267227,110,30.1
temperature,1657993840869870478,110,30.2
temperature,1657993850134961391,110,30
temperature,1657993859412816442,110,30.4
temperature,1657993868684873581,110,30.6
temperature,1657993877940093398,110,30.3
temperature,1657993887207759171,110,30.1
temperature,1657993896465389377,110,31.3
temperature,1657993905738435957,110,30.6
temperature,1657993915004127908,110,30.6
temperature,1657993924269963899,110,30.3
temperature,1657993933539194719,110,30.7
temperature,1657993942802438134,110,31.1
temperature,1657993952085794102,110,30.5
temperature,1657993961353384540,110,30.8
temperature,1657993970616864750,110,30.6
temperature,1657993979886300511,110,30.1
temperature,1657993989152458707,110,29.4
temperature,1657993998411624402,110,30.6
temperature,1657994007709070254,110,30.6
temperature,1657994016942708759,110,30.3
temperature,1657994026232092419,110,30.6
temperature,1657994035482602815,110,30.8
temperature,1657994044752693700,110,30.8
temperature,1657994054021893824,110,30.3
temperature,1657994063270765481,110,30.6
temperature,1657994072528894005,110,30.2
temperature,1657994081781016403,110,30.4
temperature,1657994091032893601,110,30.6
temperature,1657994100308274306,110,30.4
temperature,1657994109573250908,110,30.3
temperature,1657994118837973221,110,30.3
temperature,1657994128110242428,110,30.7
temperature,1657994137370937803,110,30.1
temperature,1657994146627166331,110,30.5
temperature,1657994155905198137,110,30
temperature,1657994165183346407,110,30.8
temperature,1657994174447853751,110,30.4
temperature,1657994183711412979,110,30.4
temperature,1657994192968171741,110,29.8
temperature,1657994202237395016,110,30.4
temperature,1657994211525477159,110,30.6
temperature,1657994220793204388,110,30.8
temperature,1657994230065196785,110,30.1
temperature,1657994239352414281,110,30.3
temperature,1657994248614965345,110,30.1
temperature,1657994257874562318,110,30.3
temperature,1657994267135265861,110,30.6
temperature,1657994276413965630,110,30
temperature,1657994285687208270,110,30.2
temperature,1657994294953873401,110,30.1
temperature,1657994304226908485,110,30.5
temperature,1657994313487301802,110,30
temperature,1657994322758982738,110,30.3
temperature,1657994332032769175,110,30.6
temperature,1657994341287885662,110,30.6
temperature,1657994350548131556,110,30.3
temperature,1657994359813555417,110,29.5
temperature,1657994369077569052,110,30
temperature,1657994378345089797,110,30.6
temperature,1657994387623254338,110,30.6
temperature,1657994396879449267,110,30.6
temperature,1657994406142767887,110,30.6
temperature,1657994415409286246,110,30.7
temperature,1657994424674259819,110,30.4
temperature,1657994433930343083,110,29.1
temperature,1657994443189390103,110,30.6
temperature,1657994452440336977,110,29.8
temperature,1657994461690897548,110,30.6
temperature,1657994470958880830,110,29.9
temperature,1657994480223859708,110,30.7
temperature,1657994489486213223,110,31
temperature,1657994498739358197,110,30.5
temperature,1657994508007065895,110,30.3
temperature,1657994517257036169,110,30.9
temperature,1657994526505446155,110,30.8
temperature,1657994535752088237,110,30.3
temperature,1657994545018225792,110,30.4
temperature,1657994554271557758,110,29.8
temperature,1657994563540533539,110,30.2
temperature,1657994572798504281,110,30.1
temperature,1657994582063594884,110,30.6
temperature,1657994591323572107,110,30.5
temperature,1657994600594346805,110,30
temperature,1657994609853905370,110,30.9
temperature,1657994619105577882,110,30.6
temperature,1657994628357257569,110,30.6
temperature,1657994637621112974,110,30.4
temperature,1657994646880703259,110,31.1
temperature,1657994656154653575,110,30.1
temperature,1657994665421171634,110,30
temperature,1657994674674751999,110,30.6
temperature,1657994683930703992,110,30.3
temperature,1657994693174303322,110,30.2
temperature,1657994702435618550,110,30.3
temperature,1657994711696621344,110,30
temperature,1657994720950695334,110,30.6
temperature,1657994730228805840,110,30.6
temperature,1657994739490684373,110,30.6
temperature,1657994748770540524,110,30.4
temperature,1657994758035775250,110,31
temperature,1657994767297984512,110,30.5
temperature,1657994776559867999,110,29.2
temperature,1657994785831927411,110,29.8
temperature,1657994795100770018,110,30.5
temperature,1657994804359033645,110,29.6
temperature,1657994813609021907,110,30.4
temperature,1657994822864909570,110,30.2
temperature,1657994832141113607,110,29.8
temperature,1657994841413158531,110,30.8
temperature,1657994850678612278,110,30.5
temperature,1657994859951211657,110,30.3
temperature,1657994869224064526,110,30.3
temperature,1657994878491141829,110,30.3
temperature,1657994887762316365,110,30.4
temperature,1657994897017319564,110,30
temperature,1657994906285038046,110,30.5
temperature,1657994915554753880,110,30.6
temperature,1657994924818420716,110,29.8
temperature,1657994934078801196,110,30.5
temperature,1657994943334380343,110,30.6
temperature,1657994952589448943,110,29.9
temperature,1657994961854407676,110,30.3
temperature,1657994971101499893,110,29.8
temperature,1657994980359185296,110,31.1
temperature,1657994989626578652,110,30.3
temperature,1657994998880594243,110,30
temperature,1657995008144449956,110,29.9
temperature,1657995017404561249,110,30.3
temperature,1657995026679040860,110,30.4
temperature,1657995035933576362,110,29.7
temperature,1657995045189731862,110,30.5
temperature,1657995054473685060,110,30.2
temperature,1657995063740766274,110,30.3
temperature,1657995073004843299,110,30.4
temperature,1657995082273467717,110,30.1
temperature,1657995091531265268,110,29.9
temperature,1657995100784474709,110,29.7
temperature,1657995110055010977,110,30.5
temperature,1657995119316942426,110,29.8
temperature,1657995128572987740,110,29.8
temperature,1657995137841998104,110,30.5
temperature,1657995147110985673,110,30.2
temperature,1657995156377502820,110,30.5
temperature,1657995165640053644,110,30.3
temperature,1657995174904771849,110,30.1
temperature,1657995184167106394,110,30.6
temperature,1657995193461355958,110,30.8
temperature,1657995202720699129,110,29.1
temperature,1657995212005243913,110,29.9
temperature,1657995221262998072,110,29.8
temperature,1657995230533205681,110,30.8
temperature,1657995239805201055,110,30.3
temperature,1657995249064295548,110,30.3
temperature,1657995258347236871,110,30.3
temperature,1657995267612485414,110,30.2
temperature,1657995276871390775,110,30.1
temperature,1657995286135567633,110,30.9
temperature,1657995295395346393,110,30.5
temperature,1657995304678527777,110,30.1
temperature,1657995313947534787,110,29.8
temperature,1657995323208587076,110,29.6
temperature,1657995362485890232,110,29.8
temperature,1657995371765562141,110,30.1
temperature,1657995381009067302,110,30.3
temperature,1657995390285578886,110,30.1
temperature,1657995399547866505,110,30.1
temperature,1657995408826918282,110,30.4
temperature,1657995418079725606,110,30.2
temperature,1657995427336812991,110,29.8
temperature,1657995436583400310,110,29.8
temperature,1657995445843017055,110,29.6
temperature,1657995455127370941,110,30.3
temperature,1657995464398789851,110,30.6
temperature,1657995473658319427,110,30
temperature,1657995482927213521,110,30.1
temperature,1657995492206648074,110,30.3
temperature,1657995501473234402,110,30.3
temperature,1657995510734934918,110,30
temperature,1657995519997116949,110,30.2
temperature,1657995529289777664,110,30.4
temperature,1657995538552368303,110,30.1
temperature,1657995547819591434,110,29.1
temperature,1657995557084916199,110,30.7
temperature,1657995566346489278,110,30.3
temperature,1657995575616857126,110,30.1
temperature,1657995584879379628,110,29.8
temperature,1657995594144529396,110,30.3
temperature,1657995603394522174,110,30.1
temperature,1657995612658552667,110,30.6
temperature,1657995621925051183,110,30.3
temperature,1657995631185789180,110,30.3
temperature,1657995640466602883,110,30.2
temperature,1657995649730774645,110,29.9
temperature,1657995658984797625,110,30.1
temperature,1657995668239809872,110,30.1
temperature,1657995677497224767,110,30.5
temperature,1657995686757384306,110,29.3
temperature,1657995696016395701,110,30.3
temperature,1657995705271330353,110,30
temperature,1657995714533022432,110,30.3
temperature,1657995723789823083,110,30.7
temperature,1657995733057075811,110,30.1
temperature,1657995742317802244,110,29.8
temperature,1657995751573057866,110,30
temperature,1657995760834067166,110,29.6
temperature,1657995770095614354,110,30.1
temperature,1657995779343456197,110,30.1
temperature,1657995788608110850,110,30.5
temperature,1657995797883644705,110,30.3
temperature,1657995807134955433,110,29.6
temperature,1657995816386715752,110,30.4
temperature,1657995825653841165,110,31.1
temperature,1657995834919622585,110,30.2
temperature,1657995844183556479,110,30.4
temperature,1657995853429526007,110,29.7
temperature,1657995862709228314,110,30.5
temperature,1657995871970022409,110,30.5
temperature,1657995881225480517,110,30.5
temperature,1657995890506995350,110,30.7
temperature,1657995899764596083,110,30.1
temperature,1657995909039654350,110,29.6
temperature,1657995918322906258,110,30.2
temperature,1657995927585243662,110,30.5
temperature,1657995936835377379,110,29.8
temperature,1657995946103636769,110,30.7
temperature,1657995955353023109,110,30.5
temperature,1657995964629922060,110,29.9
temperature,1657995973905823147,110,30.6
temperature,1657995983169970521,110,30.5
temperature,1657995992429916724,110,30.6
temperature,1657996001679989966,110,29.5
temperature,1657996010966983325,110,30.1
temperature,1657996020219822981,110,30.9
temperature,1657996029473991635,110,29.9
temperature,1657996038739933246,110,30.6
temperature,1657996047991457548,110,30.5
temperature,1657996057262720513,110,30.1
temperature,1657996066534133459,110,29.8
temperature,1657996075803176078,110,30.2
temperature,1657996085065223597,110,30.8
temperature,1657996094342791650,110,30.3
temperature,1657996103620610675,110,30.2
temperature,1657996112878288283,110,30.6
temperature,1657996122157391627,110,30.2
temperature,1657996131430402466,110,30
temperature,1657996140714485829,110,30.3
temperature,1657996149977457041,110,30.3
temperature,1657996159238517504,110,30.6
temperature,1657996168489125831,110,29.6
temperature,1657996177753521689,110,30.2
temperature,1657996187016684454,110,30.1
temperature,1657996196280396825,110,30.3
temperature,1657996205543623437,110,29.8
temperature,1657996214807712498,110,30.1
temperature,1657996224092154716,110,30
temperature,1657996233367024529,110,30.3
temperature,1657996242621918393,110,30.2
temperature,1657996251886726227,110,30.6
temperature,1657996261164230705,110,30.3
temperature,1657996270428296104,110,29.6
temperature,1657996279677860876,110,30.1
temperature,1657996288937875546,110,30
temperature,1657996298219114953,110,29.8
temperature,1657996307502039748,110,30.3
temperature,1657996316790984240,110,29.6
temperature,1657996326043608547,110,30.3
temperature,1657996335293057991,110,30.2
temperature,1657996344549222357,110,29.9
temperature,1657996353810345797,110,30.1
temperature,1657996363074686345,110,30.5
temperature,1657996372334030393,110,30.4
temperature,1657996381604464282,110,29.9
temperature,1657996390863200606,110,29.7
temperature,1657996400129263644,110,30.5
temperature,1657996409398705739,110,30.3
temperature,1657996418676208243,110,30.7
temperature,1657996427946483794,110,30.2
temperature,1657996437225090175,110,30
temperature,1657996446486813222,110,29.8
temperature,1657996455746539143,110,30.3
temperature,1657996465020593532,110,30.1
temperature,1657996474282211731,110,30.1
temperature,1657996483537931860,110,29.5
temperature,1657996492793650792,110,29.9
temperature,1657996502071546782,110,30.5
temperature,1657996511337517605,110,30.1
temperature,1657996520597679962,110,30.6
temperature,1657996529867775662,110,29.8
temperature,1657996539130871121,110,30.4
temperature,1657996548389734655,110,30.5
temperature,1657996557643810467,110,30.3
temperature,1657996566892881259,110,30.1
temperature,1657996576189235994,110,30.3
temperature,1657996585446254268,110,29.7
temperature,1657996594726284356,110,29.2
temperature,1657996603964358260,110,30.1
temperature,1657996613232086728,110,29.8
temperature,1657996622514953175,110,30.3
temperature,1657996631783971229,110,30.3
temperature,1657996641048063667,110,30.3
temperature,1657996650324335782,110,30.3
temperature,1657996659587059364,110,30.1
temperature,1657996668843746306,110,30.1
temperature,1657996678103100142,110,30.3
temperature,1657996687380864216,110,30.1
temperature,1657996696638308353,110,30.2
temperature,1657996705899251481,110,30.6
temperature,1657996715171999865,110,30.3
temperature,1657996724435246789,110,30.2
temperature,1657996733713441958,110,29.9
temperature,1657996742975300964,110,30.4
temperature,1657996752251301964,110,30.2
temperature,1657996761514942829,110,30.4
temperature,1657996770772250187,110,29.8
temperature,1657996780024526271,110,30.1
temperature,1657996789284295683,110,30.2
temperature,1657996798538635002,110,30.3
temperature,1657996807795544339,110,30.7
temperature,1657996817076602234,110,29.8
temperature,1657996826349668767,110,30.3
temperature,1657996835605708411,110,30.3
temperature,1657996844866772604,110,30.6
temperature,1657996854127833404,110,30.3
temperature,1657996863402408189,110,30.3
temperature,1657996872695150150,110,30.1
temperature,1657996881957438879,110,30.1
temperature,1657996891223188050,110,30.1
temperature,1657996900480874636,110,30.7
temperature,1657996909740578280,110,30.3
temperature,1657996919013859427,110,30
temperature,1657996928280600423,110,30.2
temperature,1657996937549794772,110,30.4
temperature,1657996946827006021,110,30.8
temperature,1657996956082480414,110,30.2
temperature,1657996965342573296,110,30
