name,time,value
luminosity_ratio,1657989711005103944,100
luminosity_ratio,1657989720272420942,100
luminosity_ratio,1657989729538335204,100
luminosity_ratio,1657989738790369742,100
luminosity_ratio,1657989748046484064,100
luminosity_ratio,1657989757295868621,100
luminosity_ratio,1657989766552893911,100
luminosity_ratio,1657989775793248299,100
luminosity_ratio,1657989785060597401,100
luminosity_ratio,1657989794333988718,100
luminosity_ratio,1657989803596819852,100
luminosity_ratio,1657989812859252135,100
luminosity_ratio,1657989822130032879,100
luminosity_ratio,1657989831385691128,100
luminosity_ratio,1657989840651645269,100
luminosity_ratio,1657989849908541205,100
luminosity_ratio,1657989859168679428,100
luminosity_ratio,1657989868425848904,100
luminosity_ratio,1657989877691757039,100
luminosity_ratio,1657989886953043574,100
luminosity_ratio,1657989896216171142,100
luminosity_ratio,1657989905476844881,100
luminosity_ratio,1657989914740738282,100
luminosity_ratio,1657989924003887937,100
luminosity_ratio,1657989933276905154,100
luminosity_ratio,1657989942523541657,100
luminosity_ratio,1657989951775173141,100
luminosity_ratio,1657989961036333855,100
luminosity_ratio,1657989970298095249,100
luminosity_ratio,1657989979558378270,100
luminosity_ratio,1657989988817138963,100
luminosity_ratio,1657989998078410380,100
luminosity_ratio,1657990007341153209,100
luminosity_ratio,1657990016608159647,100
luminosity_ratio,1657990025861435336,100
luminosity_ratio,1657990035128362033,100
luminosity_ratio,1657990044403334360,100
luminosity_ratio,1657990053687944487,100
luminosity_ratio,1657990062941339110,100
luminosity_ratio,1657990072211489764,100
luminosity_ratio,1657990081474539718,100
luminosity_ratio,1657990090761096449,100
luminosity_ratio,1657990100023562307,100
luminosity_ratio,1657990109286868492,100
luminosity_ratio,1657990118555785969,100
luminosity_ratio,1657990127816693058,100
luminosity_ratio,1657990137096254464,100
luminosity_ratio,1657990146343651614,100
luminosity_ratio,1657990155626712111,100
luminosity_ratio,1657990164892811744,100
luminosity_ratio,1657990174158609396,100
luminosity_ratio,1657990183424912399,100
luminosity_ratio,1657990192692111672,100
luminosity_ratio,1657990201966942750,100
luminosity_ratio,1657990211243491716,100
luminosity_ratio,1657990220526655101,100
luminosity_ratio,1657990229796000202,100
luminosity_ratio,1657990239080004209,100
luminosity_ratio,1657990248336583382,100
luminosity_ratio,1657990257600147016,100
luminosity_ratio,1657990266859185668,100
luminosity_ratio,1657990276129143935,100
luminosity_ratio,1657990285402466230,100
luminosity_ratio,1657990294676206530,100
luminosity_ratio,1657990303944892847,100
luminosity_ratio,1657990313207634808,100
luminosity_ratio,1657990322462870689,100
luminosity_ratio,1657990331732032655,100
luminosity_ratio,1657990340991953664,100
luminosity_ratio,1657990350250452271,100
luminosity_ratio,1657990359518058073,100
luminosity_ratio,1657990368782258821,100
luminosity_ratio,1657990378048824028,100
luminosity_ratio,1657990387301539488,100
luminosity_ratio,1657990396561775397,100
luminosity_ratio,1657990405818827314,100
luminosity_ratio,1657990415074948087,100
luminosity_ratio,1657990424327159149,100
luminosity_ratio,1657990433601072388,100
luminosity_ratio,1657990442860227827,100
luminosity_ratio,1657990452126953285,100
luminosity_ratio,1657990461386520517,100
luminosity_ratio,1657990470668952163,100
luminosity_ratio,1657990479930982026,100
luminosity_ratio,1657990489205748902,100
luminosity_ratio,1657990498489005055,100
luminosity_ratio,1657990507751174774,100
luminosity_ratio,1657990517019054261,100
luminosity_ratio,1657990526294178091,100
luminosity_ratio,1657990535551168507,100
luminosity_ratio,1657990544818573699,100
luminosity_ratio,1657990554081568604,100
luminosity_ratio,1657990563351520680,100
luminosity_ratio,1657990572610437357,100
luminosity_ratio,1657990581887649135,100
luminosity_ratio,1657990591138515775,100
luminosity_ratio,1657990600405451069,100
luminosity_ratio,1657990609659481099,100
luminosity_ratio,1657990618920552359,100
luminosity_ratio,1657990628167279389,100
luminosity_ratio,1657990637423819287,100
luminosity_ratio,1657990646678629146,100
luminosity_ratio,1657990655932567484,100
luminosity_ratio,1657990665198059463,100
luminosity_ratio,1657990674464681437,100
luminosity_ratio,1657990683730728166,100
luminosity_ratio,1657990693007615619,100
luminosity_ratio,1657990702257432144,100
luminosity_ratio,1657990711507939976,100
luminosity_ratio,1657990720770923933,100
luminosity_ratio,1657990730030544204,100
luminosity_ratio,1657990739274119796,100
luminosity_ratio,1657990748523918596,100
luminosity_ratio,1657990757786960886,100
luminosity_ratio,1657990767067854750,100
luminosity_ratio,1657990776339904083,100
luminosity_ratio,1657990785588708344,100
luminosity_ratio,1657990794853453804,100
luminosity_ratio,1657990804098959359,100
luminosity_ratio,1657990813358172265,100
luminosity_ratio,1657990822621264329,100
luminosity_ratio,1657990831891178088,100
luminosity_ratio,1657990841149246534,100
luminosity_ratio,1657990850426497495,100
luminosity_ratio,1657990859687499871,100
luminosity_ratio,1657990868935680450,100
luminosity_ratio,1657990878190958584,100
luminosity_ratio,1657990887460508910,100
luminosity_ratio,1657990896720675074,100
luminosity_ratio,1657990905993455856,100
luminosity_ratio,1657990915260232604,100
luminosity_ratio,1657990924513719623,100
luminosity_ratio,1657990933772128365,100
luminosity_ratio,1657990943040505830,100
luminosity_ratio,1657990952321942176,100
luminosity_ratio,1657990961586934387,100
luminosity_ratio,1657990970843952753,100
luminosity_ratio,1657990980111838051,100
luminosity_ratio,1657990989391404492,100
luminosity_ratio,1657990998672776293,100
luminosity_ratio,1657991007936825408,100
luminosity_ratio,1657991017200527546,100
luminosity_ratio,1657991026455753111,100
luminosity_ratio,1657991035710415603,100
luminosity_ratio,1657991044963765269,100
luminosity_ratio,1657991054231664554,100
luminosity_ratio,1657991063496318696,100
luminosity_ratio,1657991072771510039,100
luminosity_ratio,1657991082043074089,100
luminosity_ratio,1657991091287457917,100
luminosity_ratio,1657991100547213762,100
luminosity_ratio,1657991109804108858,100
luminosity_ratio,1657991119056302845,100
luminosity_ratio,1657991128317794997,100
luminosity_ratio,1657991137584298647,100
luminosity_ratio,1657991146844372853,100
luminosity_ratio,1657991156124266216,100
luminosity_ratio,1657991165383479350,100
luminosity_ratio,1657991174646500819,100
luminosity_ratio,1657991183909441180,100
luminosity_ratio,1657991193184711657,100
luminosity_ratio,1657991202450501875,100
luminosity_ratio,1657991211731143216,100
luminosity_ratio,1657991220992747047,100
luminosity_ratio,1657991230253970132,100
luminosity_ratio,1657991239527575772,100
luminosity_ratio,1657991248798708486,100
luminosity_ratio,1657991258052240950,100
luminosity_ratio,1657991267316438283,100
luminosity_ratio,1657991276579798843,100
luminosity_ratio,1657991285851743830,100
luminosity_ratio,1657991295116783426,100
luminosity_ratio,1657991304378606230,100
luminosity_ratio,1657991313643779172,100
luminosity_ratio,1657991322930347209,100
luminosity_ratio,1657991332205087800,100
luminosity_ratio,1657991341468580491,100
luminosity_ratio,1657991350744090064,100
luminosity_ratio,1657991360022595131,100
luminosity_ratio,1657991369282024035,100
luminosity_ratio,1657991378551443949,100
luminosity_ratio,1657991387807054163,100
luminosity_ratio,1657991397059638600,100
luminosity_ratio,1657991406310224657,100
luminosity_ratio,1657991415578721329,100
luminosity_ratio,1657991424851800013,100
luminosity_ratio,1657991434109751913,100
luminosity_ratio,1657991443359979037,100
luminosity_ratio,1657991452620033235,100
luminosity_ratio,1657991461872734206,100
luminosity_ratio,1657991471143941997,100
luminosity_ratio,1657991480406832821,100
luminosity_ratio,1657991489673036773,100
luminosity_ratio,1657991498941582039,100
luminosity_ratio,1657991508223177063,100
luminosity_ratio,1657991517497474803,100
luminosity_ratio,1657991526760756379,100
luminosity_ratio,1657991536018729511,100
luminosity_ratio,1657991545279044763,100
luminosity_ratio,1657991554555796096,100
luminosity_ratio,1657991563820414807,100
luminosity_ratio,1657991573094502243,100
